Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
2,2,0,5,-1.3,5,0.57,1.0,1,36.8,0.27,15,24.3
2,2,0,5,-1.4,5,0.57,1.1,1,33.1,0.09,15,25.7
2,2,0,5,0.6,5,0.57,1.1,1,34.9,0.06,15,24.6
2,2,0,5,0.5,5,0.57,1.0,1,31.7,0.13,15,26.4
2,2,0,5,1.6,5,0.57,1.0,1,33.3,0.07,15,25.0
2,2,0,5,1.2,5,0.57,1.1,1,30.8,0.08,15,26.2
2,2,0,5,-0.2,5,0.57,1.0,1,34.2,0.07,15,25.1
2,2,0,5,0.0,5,0.54,1.1,1,35.3,0.13,15,24.3
2,2,0,5,2.0,5,0.61,1.1,1,35.0,0.17,15,24.3
2,2,0,5,2.0,5,0.61,1.1,1,34.4,0.14,15,24.5
2,2,0,5,2.0,5,0.57,1.1,1,34.1,0.13,15,24.4
2,2,0,5,2.0,5,0.57,1.3,1,34.1,0.12,15,24.5
2,2,0,5,2.0,5,0.54,1.1,1,34.8,0.21,15,24.1
2,2,0,5,-1.0,5,0.57,1.1,0,38.7,0.09,15,24.2
2,2,0,5,-2.0,5,0.61,1.1,2,40.0,0.09,15,23.8
2,2,0,5,-2.0,5,0.79,1.1,2,43.8,0.32,15,23.8
2,2,0,5,-0.5,5,0.54,1.0,2,43.7,0.31,15,23.7
2,2,0,5,-0.5,5,0.79,1.0,0,40.4,0.24,15,23.9
2,2,0,5,-1.0,5,0.57,1.7,2,43.6,0.35,15,23.8
2,2,0,5,0.0,5,0.57,1.0,0,35.8,0.32,15,23.8
2,2,0,5,-1.0,5,0.61,1.0,2,42.3,0.36,15,23.8
2,2,0,5,-0.5,5,0.61,1.0,0,42.1,0.33,15,23.8
2,2,0,5,-1.0,5,0.57,1.0,2,42.8,0.32,15,23.8
2,2,0,5,0.0,5,0.57,1.1,0,35.9,0.33,15,23.9
2,2,0,5,-1.0,5,0.57,1.7,2,44.3,0.33,15,23.8
2,2,0,5,-2.0,5,0.61,1.1,0,37.6,0.09,15,24.3
2,2,0,5,-2.0,5,0.61,1.0,0,43.5,0.14,15,24.4
2,2,0,5,-2.0,5,0.61,1.1,0,38.1,0.12,15,24.1
2,2,0,5,-2.0,5,0.61,1.1,0,39.2,0.13,15,23.9
2,2,0,5,-2.0,5,0.61,1.1,0,39.2,0.12,15,23.8
2,2,0,5,-2.0,5,0.61,1.5,0,38.0,0.11,15,24.3
2,2,0,5,-2.0,5,0.61,1.0,0,38.3,0.11,15,23.7
2,2,0,5,-2.0,5,0.57,1.1,2,38.0,0.14,15,24.1
2,2,0,5,-2.0,5,0.61,1.1,0,38.5,0.12,15,24.3
2,2,0,5,-2.0,5,0.61,1.0,0,38.4,0.12,15,24.0
2,2,0,5,-2.0,5,0.61,1.1,0,39.5,0.14,15,24.1
2,2,0,5,1.0,5,0.61,1.1,1,37.9,0.14,15,24.1
2,2,0,5,0.0,5,0.61,1.1,1,39.4,0.19,15,23.8
2,2,0,5,0.0,5,0.61,1.1,0,41.8,0.17,15,23.6
2,2,0,5,1.0,5,0.61,1.1,1,36.9,0.2,15,24.8
2,2,0,5,0.0,5,0.61,1.1,1,42.6,0.28,15,24.3
